n,IC,hit_rate,strat_mean,strat_sharpe,signal,instrument,horizon
130,-0.043521009436152336,0.5153846153846153,0.0018516561932715098,0.0759706588893205,tsmom_12m_skip1m,XAGUSD,21
130,-0.1179450764041568,0.49230769230769234,-0.014459360901453515,-0.37300956480263675,tsmom_12m_skip1m,USOIL,21
130,-0.12927938385066026,0.45384615384615384,-0.011515089013814091,-0.3583627055879602,tsmom_12m_skip1m,UKOIL,21
130,0.009048327848256838,0.49230769230769234,-0.0031497540685199834,-0.06400519682827173,tsmom_12m_skip1m,NATGAS,21
130,-0.09789837359516038,0.6230769230769231,0.006807955337028411,0.4920343072483823,tsmom_12m_skip1m,ES1!,21
130,-0.025965123106965818,0.6692307692307692,0.013447099689313416,0.783845217064365,tsmom_12m_skip1m,NQ1!,21
139,0.00813709281022387,0.539568345323741,-0.0005905488977801796,-0.10561114672809399,tsmom_3m,EURUSD,21
139,0.004396979310961168,0.5323741007194245,-0.0017792967469861544,-0.2515645933536018,tsmom_3m,GBPUSD,21
139,0.06299209079941015,0.5971223021582733,0.0021781156850497817,0.3095757078139072,tsmom_3m,USDJPY,21
139,-0.17780061664953747,0.41007194244604317,-0.00298577480738797,-0.35565624463101775,tsmom_3m,AUDUSD,21
139,-0.1856204477411859,0.460431654676259,-0.0018561747806139235,-0.3155684916328451,tsmom_3m,USDCHF,21
139,-0.13568970910228337,0.5107913669064749,-0.0015301974363831955,-0.2700382511974318,tsmom_3m,USDCAD,21
139,0.02590821752535859,0.5611510791366906,0.004550485874374188,0.3667128769262335,tsmom_3m,XAUUSD,21
139,-0.15855489521426336,0.381294964028777,-0.010537356720202047,-0.4352569977260543,tsmom_3m,XAGUSD,21
139,-0.061785602573841546,0.5251798561151079,-0.0011271332164126168,-0.02889996902012877,tsmom_3m,USOIL,21
139,-0.11547879708655436,0.49640287769784175,-0.005012086879549358,-0.15241096114456457,tsmom_3m,UKOIL,21
139,-0.04839358327002993,0.5035971223021583,0.0026386412085076254,0.055289072368221254,tsmom_3m,NATGAS,21
139,-0.20207337235801417,0.5323741007194245,-0.00025522809823566285,-0.01861069470819087,tsmom_3m,ES1!,21
139,-0.18902095714732559,0.5899280575539568,0.0014327105558863558,0.08303368388771337,tsmom_3m,NQ1!,21
133,0.04050662613113516,0.518796992481203,0.0012009141623117278,0.2319486179276982,trend_200,EURUSD,21
133,-0.0384917517674784,0.49624060150375937,0.0007188548920729683,0.10415566406870239,trend_200,GBPUSD,21
133,0.016792320013058425,0.5413533834586466,-0.00018851377200794004,-0.025484043374313745,trend_200,USDJPY,21
133,-0.11977025331306555,0.5037593984962406,-0.0024471009514736913,-0.3217210821373663,trend_200,AUDUSD,21
133,-0.15486477387498596,0.45864661654135336,-0.0024384844059179367,-0.44679716302479766,trend_200,USDCHF,21
133,-0.19146407402495383,0.42857142857142855,-0.002780841679666982,-0.5144530486431731,trend_200,USDCAD,21
133,-0.010553860907356586,0.46616541353383456,0.001523341564544247,0.11311008172623689,trend_200,XAUUSD,21
133,-0.14094938839636403,0.45112781954887216,0.0004895569965294467,0.018023001846021028,trend_200,XAGUSD,21
133,-0.0012803378867793636,0.5263157894736842,0.0012398601217618395,0.03492822888644643,trend_200,USOIL,21
133,-0.055197355668683244,0.5112781954887218,0.0068305494533201,0.20421980184778513,trend_200,UKOIL,21
133,-0.11943359076116342,0.47368421052631576,-0.01894263826948878,-0.4067751999949433,trend_200,NATGAS,21
133,-0.05173891309005213,0.6691729323308271,0.00469734744094125,0.3479165152510039,trend_200,ES1!,21
133,-0.05332530784219708,0.631578947368421,0.007564917313902209,0.4535796359780873,trend_200,NQ1!,21
140,0.02435547003126982,0.4714285714285714,0.001268938279192805,0.22571738164004937,trend_50,EURUSD,21
140,0.02474032931709344,0.5571428571428572,0.00239848890516408,0.35469213536108085,trend_50,GBPUSD,21
140,0.047088408300715055,0.5285714285714286,0.0018297005050124588,0.24879493109801493,trend_50,USDJPY,21
